N,P,K,ph,temperature,humidity,rainfall,label
74.9816047538945,58.767857660247905,44.6398788362281,6.098658484197037,21.092130483097055,82.33991780504304,155.80836121681995,Rice
94.6470458309974,50.02787529358022,44.161451555920905,5.520584494295802,26.78936896513396,92.48663961200633,171.23391106782762,Rice
67.27299868828402,39.585112746335845,36.08484485919075,6.0247564316322375,23.02361513049481,84.36843710297063,211.18528947223794,Rice
65.57975442608168,42.30361621338045,37.327236865873836,5.956069984217036,25.496231729751095,82.99510673237539,201.42344384136118,Rice
83.6965827544817,36.16126031799995,42.150897038028766,5.670524123687292,20.455361150896955,94.2332830588,246.56320330745592,Rice
92.33589392465845,42.61534422933427,31.95344228012768,6.184233026512157,23.08106745617721,81.83057352267168,199.51769101112703,Rice
61.375540844608736,57.73301005196955,35.17559963200034,6.162522284353982,22.181977532625876,87.80102031766717,204.67102793432798,Rice
67.39417822102108,59.239615694113965,45.502656467222295,6.439498941564189,26.26379145299354,88.96849968216628,242.18742350231167,Rice
63.53970008207678,39.89957156047863,30.90454577821076,5.825330330763264,22.720741027826374,84.07023547660845,232.87375091519294,Rice
74.27013306774357,42.02336274218452,40.85392166316497,5.640924224974762,25.615378865278277,81.11825965519657,248.68869366005174,Rice
90.8897907718663,39.96789203835431,30.110442342472048,6.315461428454834,24.94800140693332,90.9351075206148,227.12703466859458,Rice
62.96178606936361,43.96164321360681,32.317381190502594,6.363103425875593,24.363086887792903,84.96347037278974,156.35583502860237,Rice
72.4392928686265,43.12958305066868,44.59212356676128,6.137557471355213,26.210489198034285,87.08322387742923,161.95942459383016,Rice
88.5297914889198,54.019626215422434,41.22554395138992,6.270967179954561,23.456569174550737,87.8409924407299,192.75410183585495,Rice
61.01676506976381,37.697285674832614,30.628583713734685,6.13641041126378,22.200491867534286,87.62856036747054,240.7566473926093,Rice
69.971689165955,45.25957307589074,45.11102277086097,5.7287981654916225,20.53885936880155,84.34627179370652,166.12212872540044,Rice
97.18790609370292,55.20300948911043,42.66807513020847,6.371460590187718,25.625704538293803,82.79855088329053,239.25589984899779,Rice
81.57368967662603,55.18600387910156,47.92182599846986,5.818003474971864,20.770363471693738,83.41902743812912,192.71077886262563,Rice
92.72059063689971,56.51826458140859,30.139042610623815,6.010747302577566,22.921877022041453,83.33161715706095,161.98653673336827,Rice
73.50460685614512,58.572742597812976,36.464058640415104,6.018790621743366,24.921132712266246,85.4544440356894,247.17820827209607,Rice
98.49789179768445,41.2945573956341,39.94497011784771,5.8008783098167696,21.993883460642273,80.55330421031799,210.95643339798968,Rice
80.10716092915446,36.28696878124973,35.572929284732226,6.408265885966654,21.67693323466881,82.17342308136834,198.9452760277563,Rice
99.42601816442402,41.05138178778751,43.44271094811757,6.261619615328717,21.663462807946797,90.9232452291779,186.77831327192533,Rice
85.29223322374318,50.838242769022365,40.71549368149517,5.590289770054408,25.847117469124665,84.81170097457604,168.65185103998542,Rice
61.63100566219056,49.77232357970605,43.55128723684565,5.5165878289278565,23.584651408094967,83.39743662796907,214.51727904094497,Rice
66.97465716019965,52.27344345256165,37.734706926010745,6.436729988736735,20.962646609021952,85.11599526575388,161.34735212405892,Rice
96.98774473114251,56.93348383452452,35.15883255430311,6.159984046034179,25.72055540140851,88.32801217399194,202.96505783560065,Rice
69.67409163601806,37.32756919514748,47.944315159066534,6.40041805716333,24.431710200912875,85.08544686573052,184.92095746126608,Rice
89.03822715480958,57.42775649881443,47.741728485302346,6.279875545857624,24.494221523080014,81.26209947492573,166.1628714094614,Rice
95.94216754108317,50.16072649148975,30.183941032332594,5.601471542866032,24.644512383756393,80.07592375769327,166.08080514174986,Rice
81.94935157466344,52.297379942317335,43.03922519005201,5.72426930946056,24.985254549432753,83.558736312452,182.53996981592678,Rice
89.85965620472096,51.24082247618037,46.98446820988356,6.157612892300343,23.9781602233483,81.40512151742139,186.77158030594336,Rice
